Rank,Player Name,Country,Points,Tournaments,Last Update,Rank Change
1,AN Se Young,Korea,113770,15,2025-11-18,—
2,WANG Zhi Yi,China,105362,17,2025-11-18,—
3,Akane YAMAGUCHI,Japan,91964,16,2025-11-18,—
4,HAN Yue,China,91350,16,2025-11-18,—
5,CHEN Yu Fei,China,89935,16,2025-11-18,—
6,Pornpawee CHOCHUWONG,Thailand,71488,18,2025-11-18,—
7,Putri Kusuma WARDANI,Indonesia,66970,19,2025-11-18,—
8,Ratchanok INTANON,Thailand,65964,20,2025-11-18,▲1
9,Tomoka MIYAZAKI,Japan,63064,21,2025-11-18,▼1
10,Gregoria Mariska TUNJUNG,Indonesia,59900,12,2025-11-18,▲1
11,SIM Yu Jin,Korea,57989,13,2025-11-18,▼1
12,GAO Fang jie,China,56550,17,2025-11-18,▲1
13,PUSARLA V. Sindhu,India,54914,15,2025-11-18,▲1
14,Supanida KATETHONG,Thailand,54587,14,2025-11-18,▼2
15,Busanan ONGBAMRUNGPHAN,Thailand,54290,17,2025-11-18,▲1
16,CHIU Pin-Chian,Chinese Taipei,53927,24,2025-11-18,▲4
17,Michelle LI,Canada,53880,20,2025-11-18,▼2
18,KIM Ga Eun,Korea,51650,12,2025-11-18,—
19,YEO Jia Min,Singapore,51423,14,2025-11-18,—
20,Mia BLICHFELDT,Denmark,49950,13,2025-11-18,▼3
